X,Y,Z
40.742,-14.6598,156.47
31.1378,-14.3731,161.759
31.9317,-11.2593,164.702
39.2879,-10.1269,148.137
42.7593,-10.872,160.114
31.5196,-11.1472,164.727
31.9502,-11.1388,164.602
43.7258,-11.1472,164.727
31.6745,-11.0329,164.154
34.1512,-11.8532,176.359
43.7504,-10.9636,163.685
31.6093,-10.9872,164.602
43.7165,-10.8702,163.981
34.7775,-12.0209,181.972
35.9251,-8.8712,134.292
42.8857,-10.5176,159.216
43.4867,-10.5806,161.862
34.1162,-11.6842,179.376
34.6705,-11.8454,181.85
37.4949,-12.6745,196.664
36.3786,-8.65972,134.369
36.8296,-8.72669,136.383
43.9267,-14.6895,230.4
33.4877,-11.0368,175.647
32.9664,-10.7456,172.912
43.1643,-9.76105,159.433
43.1696,-9.16926,159.996
44.0387,-9.24111,163.217
31.6834,-9.02105,165.384
36.0799,-7.03041,132.814
44.224,-11.9738,229.193
36.6176,-7.04803,134.908
39.4406,-7.58365,145.802
31.5476,-8.51713,164.478
39.4335,-7.42077,145.9
34.7848,-9.17585,182.891
39.4406,-7.2815,145.802
35.9733,-6.59393,132.646
39.4459,-7.21532,145.822
36.1278,-6.44366,133.329
48.2777,-8.75557,182.033
51.0314,-9.44,197.207
43.4112,-10.8601,227.971
32.7921,-7.79834,163.699
36.6291,-7.73355,162.339
40.2899,-7.24324,152.047
39.5127,-7.19413,151.749
45.4988,-8.11195,171.11
41.6343,-9.6502,204.55
47.9777,-11.0829,234.919
39.9825,-6.97315,147.806
41.9412,-9.90916,211.069
42.6521,-9.89379,210.742
45.1572,-8.26614,176.072
44.8283,-8.04709,171.406
49.5932,-11.7138,250.739
42.4834,-9.68092,208.251
42.9696,-9.69331,208.517
37.0123,-6.78793,146.018
50.6874,-9.22886,198.526
44.7452,-8.08138,173.842
39.9825,-6.87104,147.806
33.0606,-7.73189,167.152
41.2348,-9.45653,204.436
42.1267,-9.57369,206.969
35.0948,-6.38121,137.952
34.7072,-6.32509,137.423
42.0722,-7.49653,162.875
44.082,-7.71039,167.521
39.5994,-9.50052,207.453
45.0299,-10.1431,221.483
49.5802,-11.0678,241.676
41.6736,-9.07878,198.243
42.8935,-7.48461,163.433
42.9077,-9.45588,207.521
35.7209,-6.49201,142.475
35.9434,-6.51451,142.969
42.5985,-9.69646,213.882
35.1211,-7.95763,175.527
41.1812,-9.18285,202.553
45.1094,-7.73785,170.679
35.8346,-6.05203,133.494
49.5946,-11.2707,249.874
49.5802,-10.9009,241.676
49.467,-10.4089,230.77
46.1795,-7.71994,172.032
35.1478,-7.71806,172.877
36.5714,-7.94968,178.065
42.9054,-8.9746,201.022
32.8998,-6.85216,153.482
35.8753,-7.93599,178.68
36.956,-8.10077,182.39
34.8573,-6.03648,135.912
35.2387,-5.91671,133.216
35.011,-6.11395,138.374
